ring,multikuti,master_slave,gga,pso
0.20569226769850357,0.17906152862442853,0.18871219620522484,0.2007319843251741,1.6066984883364722e+303
0.19913639110294745,0.1650294579743625,0.20473409229088468,0.20328854939670854,4.421298881462254e+110
0.20048731577815732,0.18174473583543171,0.16840669506602007,0.11289105424790652,6.207420860054642e+302
0.19518052311733797,0.19031939482816784,0.17960452802263088,0.16202679942854972,3.776258582885728e+297
0.17310326650919788,0.17957254346706306,0.17363357158727435,0.16179291066692725,3.563608319991922e+291
0.1901256981206042,0.1608642029071189,0.16335314599014467,0.20261493927200386,3.193305967913752e+306
0.18043909610361863,0.196740261962567,0.18922903678297606,0.16263652069370638,4.956313738309876e+88
0.1760603413282166,0.17545077814442084,0.1785316169479519,0.1766442592963241,9.340031520097532e+297
0.1996019357491721,0.19824890542240894,0.20122666548555895,0.20468031163161887,2.8605801032711886e+294
0.15662527704746187,0.1772884107636692,0.1668783466368276,0.17635458318148622,4.906166170683206e+296
