ring,multikuti,master_slave,gga,pso
16.097011808377534,15.161284350202791,16.283085617984742,15.075723676411513,inf
15.331210773463464,16.19172818559973,16.170530134728534,16.45692530364802,35228504.87759203
15.427478095745876,15.762444285325923,17.809426139928764,15.676921267700353,inf
16.260797543169218,16.149617714982924,15.188658263612794,16.613833549359022,inf
16.120356175211626,15.915995605999873,17.008723986917108,16.151165114789308,inf
15.057921570485867,16.367343991906395,16.65016091801611,17.342250757072474,inf
15.56395111300763,15.455317909324464,15.520761603771858,17.073167319305412,10657521.55029215
16.042605772486908,16.45079418636376,14.910617926211696,15.819489988265406,inf
16.31838295488404,16.14645188707939,16.510349615614604,16.118219083246363,inf
17.381309596260618,16.068259749629192,16.602380616708093,15.470310590818638,inf
