ring,multikuti,master_slave,gga,pso
3.2641070252185624,2.6709517490539048,3.033894428595471,2.977021972582666,inf
3.0042347789369344,2.6344645497728,3.2639535572874463,3.296758525331258,1.557557492108852e+118
3.0428918436978694,2.8202331701769388,2.9644922443959616,1.7440307393215964,inf
3.1292651404279335,3.0260056215147673,2.6869792640886976,2.6549236855649214,inf
2.7509968859696556,2.813182676913231,2.9174730832068265,2.576234780109021,inf
2.8173081840024983,2.59622237324892,2.68616412300877,3.4686119223164518,inf
2.7641569107217956,2.9935075410810508,2.8938106292271484,2.737722410019345,5.282202047604655e+95
2.7822496706840467,2.8433378877734294,2.619207170929908,2.752065098083035,inf
3.211646354785593,3.1524665468051727,3.2740710648882043,3.2534343241194437,inf
2.6866220701482693,2.8062047822753318,2.7325084708695586,2.688029039508648,inf
