strategy,run,iteration,value
ring,3,6,1.229302532217768
ring,3,7,1.2298352279833602
ring,3,8,1.2292872792761278
ring,3,9,1.2286822362097414
ring,3,10,1.229302532217768
ring,3,11,1.229302532217768
ring,3,12,1.2298504809250002
ring,3,13,1.2287545835105358
ring,3,14,1.2303984296322326
ring,3,15,1.229302532217768
ring,3,16,1.2303984296322326
ring,3,17,1.2298504809250004
ring,3,18,1.2303984296322326
ring,3,19,1.2298352279833602
ring,3,20,1.2303984296322326
ring,3,21,1.2293025322177682
ring,3,22,1.2270231371464044
ring,3,23,1.229302532217768
ring,3,24,1.2303984296322326
ring,3,25,1.2303984296322326
ring,3,26,1.2287545835105358
ring,3,27,1.2287545835105358
ring,3,28,1.229302532217768
ring,3,29,1.2287545835105358
ring,3,30,1.2298504809250002
ring,4,1,1.2260148399743744
ring,4,2,1.2298504809250002
ring,4,3,1.2292720263344876
ring,4,4,1.2298504809250006
ring,4,5,1.229302532217768
ring,4,6,1.2284302483777392
ring,4,7,1.2298504809250002
ring,4,8,1.2292872792761278
ring,4,9,1.2298504809250002
ring,4,10,1.2303984296322326
ring,4,11,1.2298352279833602
ring,4,12,1.2298504809250006
ring,4,13,1.229541398733844
ring,4,14,1.2269660427872506
ring,4,15,1.2298504809250004
ring,4,16,1.2281342875025092
ring,4,17,1.2298504809250006
ring,4,18,1.2275863387952772
ring,4,19,1.2298504809250002
ring,4,20,1.2298504809250006
ring,4,21,1.2298504809250006
ring,4,22,1.2269660427872506
ring,4,23,1.2286822362097414
ring,4,24,1.2281913818616632
ring,4,25,1.2298352279833602
ring,4,26,1.229302532217768
ring,4,27,1.2298504809250004
ring,4,28,1.2298504809250006
ring,4,29,1.2303984296322326
ring,4,30,1.2287545835105358
multikuti,0,1,1.223750697844651
multikuti,0,2,1.2286822362097414
multikuti,0,3,1.2303984296322326
multikuti,0,4,1.2298504809250004
multikuti,0,5,1.2303984296322326
multikuti,0,6,1.2303984296322326
multikuti,0,7,1.2281342875025092
multikuti,0,8,1.2287545835105358
multikuti,0,9,1.2298504809250006
multikuti,0,10,1.2286822362097414
multikuti,0,11,1.2287393305688954
multikuti,0,12,1.229302532217768
multikuti,0,13,1.2287545835105358
multikuti,0,14,1.2298504809250002
multikuti,0,15,1.229302532217768
multikuti,0,16,1.2275863387952772
multikuti,0,17,1.229302532217768
multikuti,0,18,1.2286822362097418
multikuti,0,19,1.2282066348033036
multikuti,0,20,1.2298352279833602
multikuti,0,21,1.2298504809250006
multikuti,0,22,1.229302532217768
multikuti,0,23,1.2298504809250006
multikuti,0,24,1.229302532217768
multikuti,0,25,1.2298504809250002
multikuti,0,26,1.2298504809250004
multikuti,0,27,1.2303984296322326
multikuti,0,28,1.2298504809250004
multikuti,0,29,1.229302532217768
multikuti,0,30,1.2298504809250002
multikuti,1,1,1.2194394554875871
multikuti,1,2,1.2298504809250002
multikuti,1,3,1.2303984296322326
multikuti,1,4,1.2303984296322326
multikuti,1,5,1.2258701453727858
multikuti,1,6,1.2298504809250002
multikuti,1,7,1.2281342875025092
multikuti,1,8,1.2289934500266118
multikuti,1,9,1.2298504809250002
multikuti,1,10,1.229302532217768
multikuti,1,11,1.2281342875025092
multikuti,1,12,1.2298504809250002
multikuti,1,13,1.2289934500266118
multikuti,1,14,1.2303984296322326
multikuti,1,15,1.2303984296322326
multikuti,1,16,1.229287279276128
multikuti,1,17,1.2286822362097416
multikuti,1,18,1.2298504809250004
multikuti,1,19,1.229302532217768
multikuti,1,20,1.2281913818616634
multikuti,1,21,1.229541398733844
multikuti,1,22,1.2298352279833602
multikuti,1,23,1.2298504809250002
multikuti,1,24,1.2303984296322326
multikuti,1,25,1.2303984296322326
multikuti,1,26,1.2303984296322326
multikuti,1,27,1.2293025322177682
multikuti,1,28,1.2298504809250006
multikuti,1,29,1.2287545835105358
multikuti,1,30,1.2303984296322326
multikuti,2,1,1.225394543966348
multikuti,2,2,1.229302532217768
multikuti,2,3,1.2303984296322326
multikuti,2,4,1.2287545835105358
multikuti,2,5,1.229302532217768
multikuti,2,6,1.227586338795277
multikuti,2,7,1.2287545835105358
multikuti,2,8,1.229302532217768
multikuti,2,9,1.2286822362097416
multikuti,2,10,1.227586338795277
multikuti,2,11,1.2298504809250002
multikuti,2,12,1.229287279276128
multikuti,2,13,1.2281913818616634
multikuti,2,14,1.2270383900880446
multikuti,2,15,1.2253221966655539
multikuti,2,16,1.2275710858536368
multikuti,2,17,1.2303984296322326
multikuti,2,18,1.229302532217768
multikuti,2,19,1.2303984296322326
multikuti,2,20,1.2298504809250006
multikuti,2,21,1.2303984296322326
multikuti,2,22,1.226225136534061
multikuti,2,23,1.2230580545358305
multikuti,2,24,1.2292872792761278
multikuti,2,25,1.229302532217768
multikuti,2,26,1.2298504809250002
multikuti,2,27,1.2281608759783829
multikuti,2,28,1.2303984296322326
multikuti,2,29,1.2298504809250002
multikuti,2,30,1.2298504809250004
multikuti,3,1,1.2243709938526774
multikuti,3,2,1.2303984296322326
multikuti,3,3,1.2286822362097414
multikuti,3,4,1.2303984296322326
multikuti,3,5,1.229302532217768
multikuti,3,6,1.2298352279833602
multikuti,3,7,1.2298352279833602
multikuti,3,8,1.2270231371464047
multikuti,3,9,1.2298504809250002
multikuti,3,10,1.2298504809250002
multikuti,3,11,1.2287545835105358
multikuti,3,12,1.2293025322177682
multikuti,3,13,1.2281342875025092
multikuti,3,14,1.2303984296322326
multikuti,3,15,1.2298352279833602
multikuti,3,16,1.2298504809250006
multikuti,3,17,1.2275863387952772
multikuti,3,18,1.2303984296322326
multikuti,3,19,1.2281342875025092
multikuti,3,20,1.2303984296322326
multikuti,3,21,1.2292720263344876
multikuti,3,22,1.2282066348033036
multikuti,3,23,1.2303984296322326
multikuti,3,24,1.2303984296322326
multikuti,3,25,1.2287240776272554
multikuti,3,26,1.2298504809250002
multikuti,3,27,1.2270383900880446
multikuti,3,28,1.2286822362097418
multikuti,3,29,1.2287545835105358
multikuti,3,30,1.2303984296322326
multikuti,4,1,1.225466891267142
multikuti,4,2,1.2287240776272552
multikuti,4,3,1.2281190345608692
multikuti,4,4,1.2298352279833602
multikuti,4,5,1.2281190345608688
multikuti,4,6,1.2269660427872506
multikuti,4,7,1.2298504809250004
multikuti,4,8,1.2287545835105358
multikuti,4,9,1.2303984296322326
multikuti,4,10,1.2303984296322326
multikuti,4,11,1.2298352279833602
multikuti,4,12,1.2303984296322326
multikuti,4,13,1.229302532217768
multikuti,4,14,1.2286822362097414
multikuti,4,15,1.229302532217768
multikuti,4,16,1.2303984296322326
multikuti,4,17,1.2286822362097414
multikuti,4,18,1.227586338795277
multikuti,4,19,1.2281190345608692
multikuti,4,20,1.2303984296322326
multikuti,4,21,1.2298504809250002
multikuti,4,22,1.2275863387952772
multikuti,4,23,1.2303984296322326
multikuti,4,24,1.2275710858536368
multikuti,4,25,1.2281190345608692
multikuti,4,26,1.2298504809250002
multikuti,4,27,1.2298352279833602
multikuti,4,28,1.2303984296322326
multikuti,4,29,1.2282066348033036
multikuti,4,30,1.2303984296322326
master_slave,0,1,1.23039842963224
master_slave,0,2,1.2298504809250077
master_slave,0,3,1.2286822362097491
master_slave,0,4,1.2293025322177755
master_slave,0,5,1.2293025322177757
master_slave,0,6,1.2281761289200304
master_slave,0,7,1.2295413987338515
master_slave,0,8,1.228682236209749
master_slave,0,9,1.23039842963224
master_slave,0,10,1.23039842963224
master_slave,0,11,1.2298504809250077
master_slave,0,12,1.229850480925008
master_slave,0,13,1.229850480925008
master_slave,0,14,1.23039842963224
master_slave,0,15,1.2298352279833678
master_slave,0,16,1.228445501319387
master_slave,0,17,1.2298352279833678
master_slave,0,18,1.2293025322177757
master_slave,0,19,1.2293025322177755
master_slave,0,20,1.23039842963224
master_slave,0,21,1.2292872792761353
master_slave,0,22,1.23039842963224
master_slave,0,23,1.2292872792761351
master_slave,0,24,1.2287545835105431
master_slave,0,25,1.2293025322177753
master_slave,0,26,1.23039842963224
master_slave,0,27,1.23039842963224
master_slave,0,28,1.2281761289200304
master_slave,0,29,1.23039842963224
master_slave,0,30,1.229850480925008
master_slave,1,1,1.2298504809250077
master_slave,1,2,1.23039842963224
master_slave,1,3,1.2298504809250077
master_slave,1,4,1.2281342875025165
master_slave,1,5,1.2298504809250077
master_slave,1,6,1.229850480925008
master_slave,1,7,1.2264180940800258
master_slave,1,8,1.2283857562001745
master_slave,1,9,1.23039842963224
master_slave,1,10,1.2298504809250077
master_slave,1,11,1.23039842963224
master_slave,1,12,1.229850480925008
master_slave,1,13,1.22649044138082
master_slave,1,14,1.2293025322177753
master_slave,1,15,1.2287545835105431
master_slave,1,16,1.2293025322177755
master_slave,1,17,1.228682236209749
master_slave,1,18,1.23039842963224
master_slave,1,19,1.228993450026619
master_slave,1,20,1.2295413987338515
master_slave,1,21,1.229850480925008
master_slave,1,22,1.228682236209749
master_slave,1,23,1.2293025322177755
master_slave,1,24,1.2264904413808198
master_slave,1,25,1.2298504809250077
master_slave,1,26,1.2289934500266193
master_slave,1,27,1.2281342875025167
master_slave,1,28,1.229850480925008
master_slave,1,29,1.2276586860960783
master_slave,1,30,1.2293025322177757
master_slave,2,1,1.2281342875025165
master_slave,2,2,1.2275710858536444
master_slave,2,3,1.23039842963224
master_slave,2,4,1.2292872792761351
master_slave,2,5,1.229850480925008
master_slave,2,6,1.2287545835105433
master_slave,2,7,1.2298504809250077
master_slave,2,8,1.2293025322177753
master_slave,2,9,1.2298504809250077
master_slave,2,10,1.228993450026619
master_slave,2,11,1.229850480925008
master_slave,2,12,1.2293025322177753
master_slave,2,13,1.2298504809250077
master_slave,2,14,1.23039842963224
master_slave,2,15,1.2292872792761351
master_slave,2,16,1.23039842963224
master_slave,2,17,1.2298504809250077
master_slave,2,18,1.2287393305689027
master_slave,2,19,1.2293025322177753
master_slave,2,20,1.2292720263344952
master_slave,2,21,1.23039842963224
master_slave,2,22,1.2281913818616708
master_slave,2,23,1.2292872792761351
master_slave,2,24,1.2286822362097491
master_slave,2,25,1.2292872792761351
master_slave,2,26,1.228739330568903
master_slave,2,27,1.2264180940800258
master_slave,2,28,1.229850480925008
master_slave,2,29,1.2298504809250077
master_slave,2,30,1.2293025322177755
master_slave,3,1,1.23039842963224
master_slave,3,2,1.2295413987338515
master_slave,3,3,1.2298352279833678
master_slave,3,4,1.2286822362097491
master_slave,3,5,1.2293025322177757
master_slave,3,6,1.2275863387952841
master_slave,3,7,1.2259424926735871
master_slave,3,8,1.2275863387952843
master_slave,3,9,1.228682236209749
master_slave,3,10,1.23039842963224
master_slave,3,11,1.23039842963224
master_slave,3,12,1.2298504809250077
master_slave,3,13,1.2293025322177755
master_slave,3,14,1.229850480925008
master_slave,3,15,1.2287240776272628
master_slave,3,16,1.228682236209749
master_slave,3,17,1.23039842963224
master_slave,3,18,1.2298352279833678
master_slave,3,19,1.2293025322177753
master_slave,3,20,1.2298504809250077
master_slave,3,21,1.229850480925008
master_slave,3,22,1.23039842963224
