,run,model,phase,fitness,returns,mdd
68,6,pso,train,0.1128,3.1444,-0.0793
69,6,pso,validation,0.0874,0.8166,-0.063
70,7,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
71,7,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
72,7,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
73,7,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
74,7,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
75,7,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
76,7,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
77,7,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
78,7,pso,train,0.1095,3.281,-0.0835
79,7,pso,validation,0.088,0.9468,-0.0702
80,8,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
81,8,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
82,8,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
83,8,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
84,8,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
85,8,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
86,8,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
87,8,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
88,8,pso,train,0.1059,2.7683,-0.0813
89,8,pso,validation,0.0875,0.8221,-0.0645
90,9,ring,train,6.497570258157476,5.998147490159876,-0.24708856015992905
91,9,ring,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
92,9,multikuti,train,6.497570258157476,5.998147490159876,-0.24708856015992905
93,9,multikuti,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
94,9,master_slave,train,6.497570258157476,5.998147490159876,-0.24708856015992905
95,9,master_slave,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
96,9,gga,train,6.497570258157476,5.998147490159876,-0.24708856015992905
97,9,gga,validation,3.5111509006408994,3.0117281326432987,-0.17061404935631613
98,9,pso,train,0.1064,2.8928,-0.0899
99,9,pso,validation,0.0863,0.8057,-0.0602
