strategy,run,iteration,diversity
ring,2,69,11.896465324384787
ring,2,70,11.899776286353468
ring,2,71,11.911051454138702
ring,2,72,11.853422818791946
ring,2,73,11.892975391498881
ring,2,74,11.868993288590604
ring,2,75,11.848232662192395
ring,2,76,11.845548098434005
ring,2,77,11.852259507829977
ring,2,78,11.776733780760626
ring,2,79,11.849753914988815
ring,2,80,11.853064876957495
ring,2,81,11.850290827740492
ring,2,82,11.85771812080537
ring,2,83,11.87275167785235
ring,2,84,11.808948545861298
ring,2,85,11.86944071588367
ring,2,86,11.838120805369128
ring,2,87,11.878926174496645
ring,2,88,11.86738255033557
ring,2,89,11.858523489932885
ring,2,90,11.87642058165548
ring,2,91,11.888680089485458
ring,2,92,11.861834451901567
ring,2,93,11.83096196868009
ring,2,94,11.909530201342282
ring,2,95,11.87758389261745
ring,2,96,11.83579418344519
ring,2,97,11.854317673378077
ring,2,98,11.81834451901566
ring,2,99,11.819328859060402
ring,2,100,11.850559284116331
ring,3,1,11.90013422818792
ring,3,2,11.895749440715884
ring,3,3,11.955704697986578
ring,3,4,11.919821029082774
ring,3,5,11.900044742729307
ring,3,6,11.937539149888144
ring,3,7,11.937270693512303
ring,3,8,11.898523489932886
ring,3,9,11.931812080536913
ring,3,10,11.907203579418345
ring,3,11,11.895838926174497
ring,3,12,11.92599552572707
ring,3,13,11.915615212527964
ring,3,14,11.926800894854587
ring,3,15,11.878926174496645
ring,3,16,11.86917225950783
ring,3,17,11.852080536912752
ring,3,18,11.854944071588367
ring,3,19,11.856375838926175
ring,3,20,11.849574944071588
ring,3,21,11.86317673378076
ring,3,22,11.876510067114094
ring,3,23,11.90496644295302
ring,3,24,11.859597315436242
ring,3,25,11.888769574944071
ring,3,26,11.869619686800895
ring,3,27,11.86586129753915
ring,3,28,11.886979865771812
ring,3,29,11.885458612975391
ring,3,30,11.87427293064877
ring,3,31,11.889664429530201
ring,3,32,11.838389261744966
ring,3,33,11.844026845637584
ring,3,34,11.899597315436242
ring,3,35,11.882058165548099
ring,3,36,11.878299776286353
ring,3,37,11.918299776286354
ring,3,38,11.881521252796421
ring,3,39,11.84662192393736
ring,3,40,11.9034451901566
ring,3,41,11.868456375838926
ring,3,42,11.892348993288591
ring,3,43,11.806085011185683
ring,3,44,11.816644295302014
ring,3,45,11.831946308724833
ring,3,46,11.870156599552573
ring,3,47,11.791856823266219
ring,3,48,11.869082774049216
ring,3,49,11.829619686800894
ring,3,50,11.832304250559284
ring,3,51,11.851096196868008
ring,3,52,11.850559284116331
ring,3,53,11.834183445190156
ring,3,54,11.829530201342282
ring,3,55,11.831498881431767
ring,3,56,11.851185682326621
ring,3,57,11.875346756152124
ring,3,58,11.868993288590604
ring,3,59,11.864429530201342
ring,3,60,11.864429530201342
ring,3,61,11.900044742729307
ring,3,62,11.810380313199104
ring,3,63,11.83337807606264
ring,3,64,11.828366890380313
ring,3,65,11.820581655480984
ring,3,66,11.813422818791945
ring,3,67,11.820939597315435
ring,3,68,11.770738255033557
ring,3,69,11.827203579418345
ring,3,70,11.852438478747203
ring,3,71,11.799552572706935
ring,3,72,11.855212527964206
ring,3,73,11.900223713646533
ring,3,74,11.853959731543624
ring,3,75,11.82102908277405
ring,3,76,11.872662192393737
ring,3,77,11.876331096196868
ring,3,78,11.888948545861297
ring,3,79,11.886263982102909
ring,3,80,11.889485458612976
ring,3,81,11.893870246085012
ring,3,82,11.905682326621925
ring,3,83,11.885906040268456
ring,3,84,11.908993288590604
ring,3,85,11.838031319910515
ring,3,86,11.877762863534675
ring,3,87,11.88993288590604
ring,3,88,11.817360178970917
ring,3,89,11.863982102908277
ring,3,90,11.834451901565995
ring,3,91,11.846711409395974
ring,3,92,11.865503355704698
ring,3,93,11.905503355704697
ring,3,94,11.87758389261745
ring,3,95,11.873020134228188
ring,3,96,11.863087248322147
ring,3,97,11.885190156599553
ring,3,98,11.901744966442953
ring,3,99,11.887158836689037
ring,3,100,11.819955257270694
ring,4,1,11.951767337807606
ring,4,2,11.886532438478747
ring,4,3,11.928053691275167
ring,4,4,11.913825503355705
ring,4,5,11.937897091722595
ring,4,6,11.931275167785236
ring,4,7,11.880089485458614
ring,4,8,11.832393736017897
ring,4,9,11.90013422818792
ring,4,10,11.915883668903803
ring,4,11,11.880715883668904
ring,4,12,11.88572706935123
ring,4,13,11.857897091722595
ring,4,14,11.833467561521253
ring,4,15,11.844116331096197
ring,4,16,11.824697986577181
ring,4,17,11.886174496644296
ring,4,18,11.864519015659955
ring,4,19,11.828187919463087
ring,4,20,11.838926174496644
ring,4,21,11.893691275167786
ring,4,22,11.825682326621925
ring,4,23,11.890917225950783
ring,4,24,11.896465324384787
ring,4,25,11.882595078299776
ring,4,26,11.890469798657717
ring,4,27,11.843758389261746
ring,4,28,11.832841163310961
ring,4,29,11.857807606263982
ring,4,30,11.862729306487696
ring,4,31,11.89145413870246
ring,4,32,11.856823266219239
ring,4,33,11.879910514541388
ring,4,34,11.848232662192395
ring,4,35,11.811901565995525
ring,4,36,11.872841163310962
ring,4,37,11.856017897091723
ring,4,38,11.86496644295302
ring,4,39,11.868724832214765
ring,4,40,11.87069351230425
ring,4,41,11.896196868008948
ring,4,42,11.837404921700223
ring,4,43,11.87642058165548
ring,4,44,11.834809843400448
ring,4,45,11.846711409395974
ring,4,46,11.857002237136465
ring,4,47,11.875883668903803
ring,4,48,11.903355704697987
ring,4,49,11.90407158836689
ring,4,50,11.901387024608502
ring,4,51,11.873557046979865
ring,4,52,11.874004474272931
ring,4,53,11.873109619686801
ring,4,54,11.883758389261745
ring,4,55,11.864161073825503
ring,4,56,11.880805369127517
ring,4,57,11.842416107382551
ring,4,58,11.901834451901566
ring,4,59,11.88331096196868
ring,4,60,11.851812080536913
ring,4,61,11.891006711409396
ring,4,62,11.78890380313199
ring,4,63,11.895570469798658
ring,4,64,11.819955257270694
ring,4,65,11.838031319910515
ring,4,66,11.822013422818792
ring,4,67,11.846263982102908
ring,4,68,11.876599552572706
ring,4,69,11.87248322147651
ring,4,70,11.874988814317673
ring,4,71,11.848232662192395
ring,4,72,11.871498881431767
ring,4,73,11.87221476510067
ring,4,74,11.870872483221477
ring,4,75,11.860313199105146
ring,4,76,11.860313199105146
ring,4,77,11.864340044742729
ring,4,78,11.86675615212528
ring,4,79,11.891543624161073
ring,4,80,11.843937360178971
ring,4,81,11.867919463087249
ring,4,82,11.877136465324385
ring,4,83,11.874541387024609
ring,4,84,11.82380313199105
ring,4,85,11.877136465324385
ring,4,86,11.837046979865772
ring,4,87,11.8468903803132
ring,4,88,11.885906040268456
ring,4,89,11.827740492170022
ring,4,90,11.83668903803132
ring,4,91,11.852975391498882
ring,4,92,11.85771812080537
ring,4,93,11.831230425055928
ring,4,94,11.857539149888144
ring,4,95,11.861208053691275
ring,4,96,11.865592841163311
ring,4,97,11.874183445190157
ring,4,98,11.847874720357941
ring,4,99,11.833467561521253
ring,4,100,11.858791946308726
ring,5,1,11.93771812080537
ring,5,2,11.929753914988813
ring,5,3,11.930648769574944
ring,5,4,11.935302013422818
ring,5,5,11.905413870246084
ring,5,6,11.887874720357942
ring,5,7,11.8468903803132
ring,5,8,11.847337807606264
ring,5,9,11.862371364653244
