k_value,run,final_fitness
5,0,0.5191408943765551
5,1,0.5881284895169241
5,2,0.561670871938619
5,3,0.5826181225044873
5,4,0.5583610817873533
5,5,0.6548798345311926
5,6,0.5149985106617618
5,7,0.4373698166886178
5,8,0.5565865566325551
5,9,0.6029215307483397
7,0,0.631587145697721
7,1,0.5431744088246238
7,2,0.577136991968608
7,3,0.6019963012891316
7,4,0.5939193519971523
7,5,0.6097229366541511
7,6,0.5404873141024542
7,7,0.6362914660482725
7,8,0.5820465698702507
7,9,0.6527938355886918
9,0,0.5906994934373856
9,1,0.5920265062212662
9,2,0.6644300785247957
9,3,0.6188144375999471
9,4,0.5257527304184679
9,5,0.61227944460055
9,6,0.6066816199465641
9,7,0.5598223538220101
9,8,0.5941416994295531
9,9,0.5886922422016319
11,0,0.617048846925815
11,1,0.5524597895253817
11,2,0.6283441817481993
11,3,0.6328934445515064
11,4,0.6088272706480284
11,5,0.645486133172357
11,6,0.6881648295784959
11,7,0.6300033682648133
11,8,0.6225669705670966
11,9,0.607214464745683
13,0,0.6360472467269
13,1,0.59582309154392
13,2,0.564896598648102
13,3,0.6426750981264553
13,4,0.7098487055919551
13,5,0.6622727572196829
13,6,0.5865607289207767
13,7,0.6638813873741101
13,8,0.614177487813119
13,9,0.5749962249728031
15,0,0.6570173649559437
15,1,0.6439268690136429
15,2,0.6104781032072129
15,3,0.6003382693176305
15,4,0.5921304843588533
15,5,0.6213589165507293
15,6,0.6537130373665808
15,7,0.675541411368658
15,8,0.7121886886589406
15,9,0.6549676349846909
17,0,0.6637483834319723
17,1,0.6182601546167513
17,2,0.6563372205801965
17,3,0.702398585843061
17,4,0.6875685253817023
17,5,0.6739282619132714
17,6,0.6277957790742239
17,7,0.6687006715178212
17,8,0.6970809566107004
17,9,0.6734708273144101
19,0,0.6548203019472665
19,1,0.6595728847263572
19,2,0.5920468791633325
19,3,0.6946622598254406
19,4,0.6381634343629285
19,5,0.5395651783256601
19,6,0.7343268035976501
19,7,0.6803765582642455
19,8,0.5952545460111411
19,9,0.708612611441829
