ring,multikuti,master_slave,gga,pso
0.38264754061756207,0.30440285670486444,0.36843172257320395,0.35482734980683206,8.76625990451154e+69
0.339584566456859,0.3193173075529964,0.46932242088042847,0.3608079648903629,1.129943513795872e+302
0.35229881554700354,0.28300441940054144,0.2920801506095387,0.39473621448630924,1.7276699561049968e+307
0.4286011458679505,0.4152410904836112,0.3348209327579107,0.28682219603564413,2.880234852392041e+150
0.34161541268734685,0.3660547744379271,0.3885256005278232,0.42038214821514475,8.336184595615936e+302
0.4561750457262368,0.42649066865711005,0.4344988783709247,0.312764929428494,3.1114158137124923e+302
0.35634791074342875,0.37674014707077996,0.3925320495150473,0.4247761476502607,2.0417710812443363e+305
0.38339627059114534,0.39610718454051835,0.29085458189918645,0.3150991046743972,3.253192506478485e+306
0.4112634400797159,0.29466715673942756,0.3887178554755153,0.36750017015162634,7.421403960860346e+108
0.37040922741782467,0.4499470352388573,0.3819906543415549,0.3019736649550735,5.390922638975955e+304
