ring,multikuti,master_slave,gga,pso
4.786604509321695,7.158002267924769,5.72417676354812,4.839469478403944,5105806.53797794
2.9516619436566636,8.145632723827,8.620477146057835,3.8714030573448173,inf
5.219511397867636,3.18351078943678,6.685316226738875,6.48303251680968,inf
2.646607468897309,3.325747816649171,6.280773532489249,6.389470909701964,203117.45767183902
3.0469985385465415,2.993786598693969,7.567972390485189,7.448002480280051,inf
3.793127749923988,6.700568659184341,7.558845970053258,7.282331329394625,inf
9.470044651522771,3.911799549778122,6.187685137782631,7.983378756544318,inf
3.950613794766646,6.479467753123786,6.427915844327749,8.899869429364026,inf
5.80852968302193,5.086281527932471,5.964354787131179,6.655410216957103,1743947.737105703
4.6183986459964474,7.21264491876233,2.6680058596347567,7.468033235551651,inf
