ring,multikuti,master_slave,gga,pso
1.74429043697321,2.1094740103945377,2.0249193022926213,1.6302812215833293,4.4758827134068896e+76
0.9191767919602886,2.5298273985690654,3.9387183683825295,1.3084735367831881,inf
1.7543510144270846,0.8316416827726558,1.8860169767130806,2.4690379619826266,inf
1.0293773635617272,1.2792973103732548,2.0265529581015236,1.7734841960159282,5.8502598071569595e+155
0.9554978100314828,1.0081147094952059,2.8517180707093095,3.03510701590648,inf
1.6186159259377373,2.7604362263870144,3.1851894302520414,2.2079050438490637,inf
3.2933382597095555,1.3833945558639513,2.3393178050160195,3.29424621949377,inf
1.4227171618760868,2.4762012224516354,1.803237166299404,2.732458464092714,inf
2.2950158506512905,1.4265980479193336,2.229774396637462,2.3639045392777356,1.2942540643689701e+115
1.619986666078159,3.1426633994792175,0.9256062797618418,2.1862612006562436,inf
